Member_number,Recency,Frequency,Monetary,Cluster
KH1000,35.0,13.0,53.8,Potential Loyalists
KH1001,242.0,12.0,100.0,Big Spenders
KH1002,122.0,8.0,70.3,Potential Loyalists
KH1003,323.0,8.0,60.65,Churned Customers
KH1004,28.0,21.0,204.96,Loyal Customers
KH1005,706.0,4.0,24.0,One-time Shoppers
KH1006,199.0,15.0,182.94,Big Spenders
KH1008,88.0,12.0,155.9,Loyal Customers
KH1009,86.0,9.0,48.75,Potential Loyalists
KH1010,152.0,12.0,89.36,Big Spenders
KH1011,21.0,13.0,89.8,Potential Loyalists
KH1012,41.0,11.0,75.86,Potential Loyalists
KH1013,89.0,19.0,186.75,Loyal Customers
KH1014,88.0,10.0,75.1,Potential Loyalists
KH1015,240.0,7.0,71.4,Big Spenders
KH1016,86.0,11.0,104.7,Potential Loyalists
KH1017,91.0,11.0,75.49,Potential Loyalists
KH1018,221.0,8.0,94.6,Big Spenders
KH1019,385.0,2.0,73.5,Churned Customers
KH1020,78.0,10.0,73.84,Potential Loyalists
KH1021,53.0,8.0,53.4,Potential Loyalists
KH1022,571.0,6.0,117.5,One-time Shoppers
KH1023,185.0,17.0,182.0,Big Spenders
KH1024,142.0,4.0,58.2,Big Spenders
KH1025,133.0,6.0,42.62,Big Spenders
KH1026,216.0,17.0,117.35,Big Spenders
KH1027,227.0,9.0,129.7,Big Spenders
KH1028,172.0,13.0,107.6,Big Spenders
KH1029,291.0,2.0,16.35,Churned Customers
KH1031,76.0,7.0,64.6,Potential Loyalists
KH1032,129.0,16.0,96.46,Big Spenders
KH1033,198.0,12.0,91.3,Big Spenders
KH1034,596.0,9.0,83.05,One-time Shoppers
KH1035,113.0,14.0,69.9,Potential Loyalists
KH1036,709.0,2.0,10.8,One-time Shoppers
KH1037,14.0,10.0,58.44,Potential Loyalists
KH1038,16.0,19.0,214.2,Loyal Customers
KH1039,213.0,2.0,2.7,Big Spenders
KH1040,34.0,11.0,48.1,Potential Loyalists
KH1041,272.0,10.0,113.75,Big Spenders
KH1042,75.0,6.0,35.75,Potential Loyalists
KH1043,354.0,8.0,94.69,Churned Customers
KH1044,66.0,4.0,25.4,Potential Loyalists
KH1045,35.0,9.0,103.3,Potential Loyalists
KH1046,189.0,4.0,16.7,Big Spenders
KH1047,143.0,6.0,51.6,Big Spenders
KH1048,73.0,6.0,23.8,Potential Loyalists
KH1049,116.0,8.0,62.3,Potential Loyalists
KH1050,240.0,14.0,124.6,Big Spenders
KH1051,50.0,20.0,207.36,Loyal Customers
KH1052,64.0,27.0,271.9,Loyal Customers
KH1053,174.0,12.0,80.7,Big Spenders
KH1054,70.0,9.0,43.9,Potential Loyalists
KH1055,219.0,6.0,75.7,Big Spenders
KH1056,51.0,6.0,58.2,Potential Loyalists
KH1057,570.0,8.0,32.15,One-time Shoppers
KH1058,50.0,8.0,38.9,Potential Loyalists
KH1059,564.0,5.0,16.8,One-time Shoppers
KH1061,116.0,14.0,149.1,Loyal Customers
KH1062,103.0,16.0,129.32,Loyal Customers
KH1063,341.0,4.0,8.1,Churned Customers
KH1064,158.0,7.0,59.1,Big Spenders
KH1065,47.0,14.0,225.4,Loyal Customers
KH1066,566.0,6.0,19.92,One-time Shoppers
KH1067,163.0,8.0,112.3,Big Spenders
KH1068,182.0,4.0,20.7,Big Spenders
KH1069,132.0,10.0,90.45,Big Spenders
KH1070,420.0,4.0,66.4,Churned Customers
KH1071,460.0,3.0,17.1,One-time Shoppers
KH1072,68.0,4.0,50.7,Potential Loyalists
KH1073,27.0,12.0,109.8,Potential Loyalists
KH1074,75.0,10.0,71.96,Potential Loyalists
KH1075,41.0,11.0,80.3,Potential Loyalists
KH1076,77.0,13.0,87.9,Potential Loyalists
KH1077,109.0,14.0,50.9,Potential Loyalists
KH1078,63.0,7.0,50.0,Potential Loyalists
KH1079,112.0,6.0,89.1,Potential Loyalists
KH1080,230.0,5.0,17.8,Big Spenders
KH1081,241.0,16.0,138.6,Big Spenders
KH1082,596.0,5.0,65.8,One-time Shoppers
KH1083,327.0,7.0,102.7,Churned Customers
KH1084,621.0,2.0,7.6,One-time Shoppers
KH1085,137.0,7.0,31.74,Big Spenders
KH1086,2.0,14.0,94.4,Potential Loyalists
KH1087,138.0,21.0,193.82,Loyal Customers
KH1088,30.0,9.0,58.75,Potential Loyalists
KH1089,390.0,2.0,9.3,Churned Customers
KH1090,70.0,12.0,219.2,Loyal Customers
KH1092,82.0,20.0,104.31,Potential Loyalists
KH1093,277.0,2.0,3.65,Churned Customers
KH1094,113.0,20.0,149.79,Loyal Customers
KH1095,61.0,8.0,57.76,Potential Loyalists
KH1096,155.0,2.0,15.3,Big Spenders
KH1097,59.0,17.0,106.48,Potential Loyalists
KH1098,48.0,24.0,267.62,Loyal Customers
KH1099,139.0,6.0,39.7,Big Spenders
KH1100,293.0,10.0,88.3,Churned Customers
KH1101,367.0,7.0,52.0,Churned Customers
KH1102,186.0,10.0,73.7,Big Spenders
KH1103,403.0,10.0,87.1,Churned Customers
KH1104,64.0,10.0,40.25,Potential Loyalists
KH1105,222.0,6.0,34.8,Big Spenders
KH1107,90.0,20.0,129.38,Loyal Customers
KH1108,153.0,12.0,94.06,Big Spenders
KH1109,268.0,12.0,93.9,Big Spenders
KH1110,40.0,18.0,155.9,Loyal Customers
KH1111,40.0,11.0,53.3,Potential Loyalists
KH1112,265.0,4.0,26.36,Big Spenders
KH1113,147.0,11.0,74.65,Big Spenders
KH1114,173.0,16.0,121.12,Big Spenders
KH1115,342.0,8.0,68.5,Churned Customers
KH1116,31.0,24.0,157.4,Loyal Customers
KH1117,220.0,3.0,34.6,Big Spenders
KH1118,5.0,18.0,173.4,Loyal Customers
KH1119,329.0,2.0,22.4,Churned Customers
KH1120,95.0,17.0,144.39,Loyal Customers
KH1121,655.0,2.0,30.62,One-time Shoppers
KH1122,9.0,6.0,33.0,Potential Loyalists
KH1123,48.0,11.0,73.6,Potential Loyalists
KH1124,494.0,4.0,15.9,One-time Shoppers
KH1125,41.0,11.0,67.56,Potential Loyalists
KH1126,227.0,9.0,124.2,Big Spenders
KH1127,76.0,12.0,85.16,Potential Loyalists
KH1128,178.0,10.0,67.25,Big Spenders
KH1129,374.0,13.0,179.64,Churned Customers
KH1130,103.0,11.0,94.95,Potential Loyalists
KH1132,99.0,10.0,25.44,Potential Loyalists
KH1133,149.0,13.0,148.94,Big Spenders
KH1134,391.0,7.0,48.4,Churned Customers
KH1135,173.0,10.0,43.37,Big Spenders
KH1136,57.0,19.0,209.06,Loyal Customers
KH1137,95.0,6.0,17.6,Potential Loyalists
KH1138,119.0,6.0,53.3,Potential Loyalists
KH1139,345.0,9.0,72.8,Churned Customers
KH1140,187.0,8.0,66.7,Big Spenders
KH1141,380.0,9.0,80.8,Churned Customers
KH1142,200.0,8.0,81.0,Big Spenders
KH1143,249.0,12.0,54.5,Big Spenders
KH1144,76.0,16.0,133.25,Loyal Customers
KH1145,84.0,6.0,34.6,Potential Loyalists
KH1146,109.0,20.0,157.52,Loyal Customers
KH1147,409.0,6.0,49.2,Churned Customers
KH1148,94.0,19.0,118.76,Potential Loyalists
KH1149,18.0,7.0,34.6,Potential Loyalists
KH1150,26.0,10.0,54.4,Potential Loyalists
KH1151,104.0,5.0,68.8,Potential Loyalists
KH1152,164.0,8.0,83.05,Big Spenders
KH1153,22.0,17.0,101.5,Potential Loyalists
KH1154,227.0,9.0,35.2,Big Spenders
KH1155,3.0,8.0,89.3,Potential Loyalists
KH1156,108.0,2.0,24.0,Potential Loyalists
KH1157,452.0,7.0,136.9,Churned Customers
KH1158,74.0,11.0,49.1,Potential Loyalists
KH1159,199.0,6.0,25.45,Big Spenders
KH1160,40.0,15.0,118.51,Potential Loyalists
KH1161,291.0,7.0,78.3,Churned Customers
KH1162,146.0,12.0,113.5,Big Spenders
KH1163,16.0,9.0,54.1,Potential Loyalists
KH1164,275.0,5.0,31.1,Churned Customers
KH1165,1.0,9.0,136.2,Loyal Customers
